state name,pdf link
Gujarat,https://sisypheans.s3-ap-south-1.amazonaws.com/b9cd1837a41a43252be00825e356da5b
Gujarat,https://sisypheans.s3-ap-south-1.amazonaws.com/336fae1d8fe6a8696bdda4cd77c0db15
Gujarat,https://sisypheans.s3-ap-south-1.amazonaws.com/402f21dcb37f11cfa3d8bfba1c3f09f8
Gujarat,https://sisypheans.s3-ap-south-1.amazonaws.com/ca71f73934cb42b5ce7ac20acc570121
Gujarat,https://sisypheans.s3-ap-south-1.amazonaws.com/4436e01c149240ae7da74a898986a2a1
Maharashtra,https://sisypheans.s3-ap-south-1.amazonaws.com/ecd3c5b10e022de4007ebbe607707e88
Maharashtra,https://sisypheans.s3-ap-south-1.amazonaws.com/7d2285b1ceb22525fef2aa98ccf6c1df
Maharashtra,https://sisypheans.s3-ap-south-1.amazonaws.com/d734a02bdbf1c5eebc49168f428613ac
Maharashtra,https://sisypheans.s3-ap-south-1.amazonaws.com/db041dfa8e365db2eb2397ccf827cffd
Maharashtra,https://sisypheans.s3-ap-south-1.amazonaws.com/efe99136aa30b1724c6edc8af3a8c643
Maharashtra,https://sisypheans.s3-ap-south-1.amazonaws.com/cf41c10bc03bd41b20ebcc5b48c9bf99
Madhya Pradesh,https://sisypheans.s3-ap-south-1.amazonaws.com/6713d970d13133d36335268c61cd0ae6
Madhya Pradesh,https://sisypheans.s3-ap-south-1.amazonaws.com/911ee439deafb2fec807d5e3249481a2
Madhya Pradesh,https://sisypheans.s3-ap-south-1.amazonaws.com/ceaf10e8cbb9b2b1f424245a45eefa57
Karnataka,https://sisypheans.s3-ap-south-1.amazonaws.com/0ae5de42dfa5713aebd96d0356128ec2
Karnataka,https://sisypheans.s3-ap-south-1.amazonaws.com/aa80dca7a7ee287687eed07a1668340b
Karnataka,https://sisypheans.s3-ap-south-1.amazonaws.com/da122c1c8d8ab00b83fc21ba7a8ced9c
Andhra Pradesh,https://sisypheans.s3-ap-south-1.amazonaws.com/68d1e246f83a99aeff1f5ce089e48422
Andhra Pradesh,https://sisypheans.s3-ap-south-1.amazonaws.com/99e7072b94ef0bcbee2d45db8758e5b2
Kerala,https://sisypheans.s3-ap-south-1.amazonaws.com/406718601d5cae5949fd35236b663458
Kerala,https://sisypheans.s3-ap-south-1.amazonaws.com/f69a6c6133123d3c76aa5a5faf7e2ecf
Kerala,https://firhtml.s3.us-west-2.amazonaws.com/923c9393846be94ded58becf85cf7f73
Kerala,https://firhtml.s3.us-west-2.amazonaws.com/13503ec2be2cf61039095692c349816d
West Bengal,https://sisypheans.s3-ap-south-1.amazonaws.com/85dea04fe3a7ede08a097ffb78c04612
West Bengal,https://sisypheans.s3-ap-south-1.amazonaws.com/45588ebb71edb3c91fda98966a42bbe8
West Bengal,https://sisypheans.s3-ap-south-1.amazonaws.com/42a00bf126b09b0d0378af3d0a90babf
Punjab,https://firhtml.s3-us-west-2.amazonaws.com/33c7342ec228aae7cbc41165129f0abe
Punjab,https://firhtml.s3-us-west-2.amazonaws.com/ac9cea7e281ae2ecd0bc76f308e7b21c
Punjab,https://firhtml.s3-us-west-2.amazonaws.com/60b5f4c07541292878ec6aa361336027
